id,type,name,displayName,symbol,clientType,isActive,year,description,systemEmail,contactEmail,url,domains,createdAt,updatedAt,provider_id,provider_type,member_id,member_type,raw_json
anbe.sfiyeb,clients,Arcadia Science,Arcadia Science,ANBE.SFIYEB,repository,True,2022,,,,,*,,,anbe,providers,,,"{""id"": ""anbe.sfiyeb"", ""type"": ""clients"", ""attributes"": {""name"": ""Arcadia Science"", ""symbol"": ""ANBE.SFIYEB"", ""year"": 2022, ""alternateName"": null, ""description"": null, ""language"": [], ""clientType"": ""repository"", ""domains"": ""*"", ""re3data"": null, ""opendoar"": null, ""issn"": {}, ""url"": null, ""created"": ""2022-06-09T16:09:26.000Z"", ""updated"": ""2024-11-05T13:00:05.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""anbe"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.57844"", ""type"": ""prefixes""}]}}}"
angz.vftgfr,clients,KAPSARC Models,KAPSARC Models,ANGZ.VFTGFR,repository,True,2024,A repository of economic models created at King Abdullah Petroleum Studies and Research Center,,,https://apps.kapsarc.org/lab/home,*,,,angz,providers,,,"{""id"": ""angz.vftgfr"", ""type"": ""clients"", ""attributes"": {""name"": ""KAPSARC Models"", ""symbol"": ""ANGZ.VFTGFR"", ""year"": 2024, ""alternateName"": null, ""description"": ""A repository of economic models created at King Abdullah Petroleum Studies and Research Center"", ""language"": [], ""clientType"": ""repository"", ""domains"": ""*"", ""re3data"": null, ""opendoar"": null, ""issn"": {}, ""url"": ""https://apps.kapsarc.org/lab/home"", ""created"": ""2024-04-17T10:07:30.000Z"", ""updated"": ""2024-04-18T07:20:49.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""angz"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.60957"", ""type"": ""prefixes""}]}}}"
ardcx.usyd,clients,University of Sydney Library,University of Sydney Library,ARDCX.USYD,repository,True,2020,"Contacts: 

kimberley.williams@sydney.edu.au
s.legge@sydney.edu.au",,,,"researchdata.ands.org.au,sydney.edu.au,usyd.edu.au,*.syd.dgicloud.com,*.datacite.org,*.usyd.edu.au,*.sydney.edu.au,*.researchdata.edu.au,researchdata.edu.au",,,ardcx,providers,,,"{""id"": ""ardcx.usyd"", ""type"": ""clients"", ""attributes"": {""name"": ""University of Sydney Library"", ""symbol"": ""ARDCX.USYD"", ""year"": 2020, ""alternateName"": null, ""description"": ""Contacts: \n\nkimberley.williams@sydney.edu.au\ns.legge@sydney.edu.au"", ""language"": [], ""clientType"": ""repository"", ""domains"": ""researchdata.ands.org.au,sydney.edu.au,usyd.edu.au,*.syd.dgicloud.com,*.datacite.org,*.usyd.edu.au,*.sydney.edu.au,*.researchdata.edu.au,researchdata.edu.au"", ""re3data"": null, ""opendoar"": null, ""issn"": {}, ""url"": null, ""created"": ""2020-05-14T23:35:58.000Z"", ""updated"": ""2024-03-22T05:40:28.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""ardcx"", ""type"": ""providers""}}, ""consortium"": {""data"": {""id"": ""ARDC"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.25910"", ""type"": ""prefixes""}]}}}"
arxiv.content,clients,arXiv,arXiv,ARXIV.CONTENT,repository,True,2021,,,,,*,,,arxiv,providers,,,"{""id"": ""arxiv.content"", ""type"": ""clients"", ""attributes"": {""name"": ""arXiv"", ""symbol"": ""ARXIV.CONTENT"", ""year"": 2021, ""alternateName"": null, ""description"": null, ""language"": [], ""clientType"": ""repository"", ""domains"": ""*"", ""re3data"": null, ""opendoar"": null, ""issn"": {}, ""url"": null, ""created"": ""2021-03-29T15:47:29.000Z"", ""updated"": ""2024-11-05T11:34:27.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""arxiv"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.48550"", ""type"": ""prefixes""}]}}}"
au.ir,clients,American University Research Archive,American University Research Archive,AU.IR,repository,True,2022,,,,https://aura.american.edu/,"*.figshare.com,american.figshare.com,aura.american.edu,dra.american.edu,*.handle.net,*.primo.exlibrisgroup.com",,,au,providers,,,"{""id"": ""au.ir"", ""type"": ""clients"", ""attributes"": {""name"": ""American University Research Archive"", ""symbol"": ""AU.IR"", ""year"": 2022, ""alternateName"": ""AURA"", ""description"": null, ""language"": [], ""clientType"": ""repository"", ""domains"": ""*.figshare.com,american.figshare.com,aura.american.edu,dra.american.edu,*.handle.net,*.primo.exlibrisgroup.com"", ""re3data"": null, ""opendoar"": null, ""issn"": {}, ""url"": ""https://aura.american.edu/"", ""created"": ""2022-08-09T16:37:04.000Z"", ""updated"": ""2024-11-05T13:17:18.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""au"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.17606"", ""type"": ""prefixes""}, {""id"": ""10.57912"", ""type"": ""prefixes""}]}}}"
bl.cam,clients,Apollo,Apollo,BL.CAM,repository,True,2015,"Apollo (previously DSpace@Cambridge) is the University of Cambridge’s institutional repository, preserving and providing access to content created by members of the University. The repository stores a range of content and provides different levels of access, but its primary focus is on providing open access to the University’s research publications.",,,https://www.repository.cam.ac.uk/,"*.cam.ac.uk,www.repository.cam.ac.uk",,,lpsw,providers,,,"{""id"": ""bl.cam"", ""type"": ""clients"", ""attributes"": {""name"": ""Apollo"", ""symbol"": ""BL.CAM"", ""year"": 2015, ""alternateName"": ""DSpace@Cambridge"", ""description"": ""Apollo (previously DSpace@Cambridge) is the University of Cambridge’s institutional repository, preserving and providing access to content created by members of the University. The repository stores a range of content and provides different levels of access, but its primary focus is on providing open access to the University’s research publications."", ""language"": [], ""clientType"": ""repository"", ""domains"": ""*.cam.ac.uk,www.repository.cam.ac.uk"", ""re3data"": ""https://doi.org/10.17616/R3SW4D"", ""opendoar"": null, ""issn"": {}, ""url"": ""https://www.repository.cam.ac.uk/"", ""created"": ""2015-08-11T10:56:25.000Z"", ""updated"": ""2023-05-25T14:27:52.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""lpsw"", ""type"": ""providers""}}, ""consortium"": {""data"": {""id"": ""blco"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.17863"", ""type"": ""prefixes""}, {""id"": ""10.22025"", ""type"": ""prefixes""}]}}}"
bl.essex,clients,University of Essex,University of Essex,BL.ESSEX,repository,True,2015,"The Research Data Repository is the University of Essex's online data repository where research data resulting from research taking place within the university can be deposited, published and made accessible to the research community.",,,http://researchdata.essex.ac.uk/,*.essex.ac.uk,,,rzyp,providers,,,"{""id"": ""bl.essex"", ""type"": ""clients"", ""attributes"": {""name"": ""University of Essex"", ""symbol"": ""BL.ESSEX"", ""year"": 2015, ""alternateName"": ""University of Essex Research Data Repository"", ""description"": ""The Research Data Repository is the University of Essex's online data repository where research data resulting from research taking place within the university can be deposited, published and made accessible to the research community."", ""language"": [""en""], ""clientType"": ""repository"", ""domains"": ""*.essex.ac.uk"", ""re3data"": ""https://doi.org/10.17616/R3SV0J"", ""opendoar"": null, ""issn"": {}, ""url"": ""http://researchdata.essex.ac.uk/"", ""created"": ""2015-05-01T10:18:27.000Z"", ""updated"": ""2020-10-23T11:35:47.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""rzyp"", ""type"": ""providers""}}, ""consortium"": {""data"": {""id"": ""blco"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.5526"", ""type"": ""prefixes""}]}}}"
bl.hwu,clients,Heriot-Watt University,Heriot-Watt University,BL.HWU,repository,True,2015,,,,,"*.hw.ac.uk, *.pureapps2.hw.ac.uk, *.researchportal.hw.ac.uk",,,dmoq,providers,,,"{""id"": ""bl.hwu"", ""type"": ""clients"", ""attributes"": {""name"": ""Heriot-Watt University"", ""symbol"": ""BL.HWU"", ""year"": 2015, ""alternateName"": null, ""description"": null, ""language"": [], ""clientType"": ""repository"", ""domains"": ""*.hw.ac.uk, *.pureapps2.hw.ac.uk, *.researchportal.hw.ac.uk"", ""re3data"": null, ""opendoar"": null, ""issn"": {}, ""url"": null, ""created"": ""2015-05-06T09:36:05.000Z"", ""updated"": ""2020-11-27T15:05:26.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""dmoq"", ""type"": ""providers""}}, ""consortium"": {""data"": {""id"": ""blco"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.17861"", ""type"": ""prefixes""}]}}}"
bl.keele,clients,Keele University,Keele University,BL.KEELE,repository,True,2016,,,,,*,,,uaik,providers,,,"{""id"": ""bl.keele"", ""type"": ""clients"", ""attributes"": {""name"": ""Keele University"", ""symbol"": ""BL.KEELE"", ""year"": 2016, ""alternateName"": null, ""description"": null, ""language"": [], ""clientType"": ""repository"", ""domains"": ""*"", ""re3data"": null, ""opendoar"": null, ""issn"": {}, ""url"": null, ""created"": ""2016-05-24T10:51:28.000Z"", ""updated"": ""2021-10-05T08:52:06.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""uaik"", ""type"": ""providers""}}, ""consortium"": {""data"": {""id"": ""blco"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.21252"", ""type"": ""prefixes""}]}}}"
bl.open,clients,The Open University,The Open University,BL.OPEN,repository,True,2016,,,,,"open.ac.uk,figshare.com,figsh.com,ordo.open.ac.uk,oro.open.ac.uk,scholarship.figshare.com,*.figshare.com,www.scholarship-exchange.open.ac.uk",,,zzsa,providers,,,"{""id"": ""bl.open"", ""type"": ""clients"", ""attributes"": {""name"": ""The Open University"", ""symbol"": ""BL.OPEN"", ""year"": 2016, ""alternateName"": null, ""description"": null, ""language"": [], ""clientType"": ""repository"", ""domains"": ""open.ac.uk,figshare.com,figsh.com,ordo.open.ac.uk,oro.open.ac.uk,scholarship.figshare.com,*.figshare.com,www.scholarship-exchange.open.ac.uk"", ""re3data"": null, ""opendoar"": null, ""issn"": {}, ""url"": null, ""created"": ""2016-08-11T08:08:14.000Z"", ""updated"": ""2023-08-24T08:17:04.000Z"", ""isActive"": true}, ""relationships"": {""provider"": {""data"": {""id"": ""zzsa"", ""type"": ""providers""}}, ""consortium"": {""data"": {""id"": ""blco"", ""type"": ""providers""}}, ""prefixes"": {""data"": [{""id"": ""10.21954"", ""type"": ""prefixes""}]}}}"
